ref,PDF_id,article_type,authors,article_title,source_title,pub_year,doi,lead_author_institution_type,lead_author_affiliation,study_country,study_region,koaro,inanga, giant_kokopu,shortjaw_kokopu,banded_kokopu,spotted_galaxias,spatial_extent,spatial_extent_km,temporal,period_yrs,preiod_frq,survey,model,experiment,ex_field,ex_lab,review,review_method,method_other,diet,predation,competition,metabolism,disease,parasites,behaviour,movement ,migration,morphology,evolution,spawning,riparain,growth,genetics,eggs,larvae,juveniles,adults,demographics,sex_ratio,fecundity,mortality,age_size_structure,abundance_density,physiochemical_habitat,landuse,aquaculture,harvesting,method_development,conservation,restoration,invasive species,climate_change,stream,lake,ocean,landlocked,notes
281,375,J,Amtstaetter F. Yen JDL. Hale R. Koster W. O'Connor J. Stuart I. Tonkin Z.,Elevated river discharge enhances the immigration of juvenile catadromous and amphidromous fishes into temperate coastal rivers,Journal of Fish Biology,2021,10.1111/jfb.14699,govt,Arthur Rylah Institute for Environmental Research,Australia,Victoriua,y,y,n,n,n,y,regional,200,y,1,27,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,"Our study shows that higher magnitudes of river discharge were associated with increased catches of juvenile catadromous and amphidromous fishes. With a limited supply of environmental water, environmental flows used to enhance immigration of these fishes may be best targeted to maintain small amounts of immigration into freshwater populations in waterways or years when discharges are low and stable."
99,156,J,Boy CC. Perez AF. Fernandez DA. Calvo J. Morriconi ER.,Energy Allocation in Relation to Spawning and Overwintering of a Diadromous Puyen (Galaxias Maculatus) Population in the Southernmost Limit of the Species Distribution,Polar Biology,2009,10.1007/s00300-008-0495-z,govt,Centro Austral de Investigaciones CientÌficas,Argentina,Patagonia,n,y,n,n,n,n,reach,na,y,1,13,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,
29,44,J,Boy CC. Perez AF. Tagliaferro M. Lattuca ME. Gutierrez M. Vanella FA.,Exploring Bioenergetics of Diadromous Galaxias Maculatus in the Southernmost Extreme of Its Distribution: Summer is not Always the Better Season,Journal of Experimental Marine Biology and Ecology,2017,10.1016/j.jembe.2016.11.008,govt,Centro Austral de Investigaciones CientÌficas,Argentina,Patagonia,n,y,n,n,n,n,lab,0.01,y,1,4,y,n,y,n,y,n,na,na,y,n,n,y,n,n,n,n,n,y,n,n,n,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,
258,342,J,Webb BF.,Fish Populations of the Avon‚Äêheathcote Estuary:5. Records of less Common Species,New Zealand Journal of Marine and Freshwater Research,1973,10.1080/00288330.1973.9515478,tertiary,UoC,NZ,Canterbury,n,y,n,n,n,n,regional,na,y,1,9,y,n,n,n,n,n,na,na,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,na,na,n,
226,307,J,Cussac VE. Cervellini PM. Battini MA.,Intralacustrine Movements of Galaxias-Maculatus (Galaxiidae) and Ondontesthes-Microlepidotus (Atherinidae) During their Early Life-History,Environmental Biology of Fishes,1992,10.1007/BF00002189,tertiary,Universidad Nacional del Comahue,Argentina,Patagonia,n,y,n,n,n,n,basin,na,y,1,na,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,y,n,n,n,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,na,
257,341,J,Hugo CC.,"Migration of Galaxias Maculatus (Jenyns) (Galaxiidae, Pisces) in Valdivia Estuary, Chile",Hydrobiologia,1973,10.1007/BF00015353,na,na,Chile, Los RÌos,n,y,n,n,n,n,basin,30,y,1,4,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,y,n,n,n,
68,109,J,Pham L. West D. Closs GP.,Reintroduction of a Native Galaxiid (Galaxias Fasciatus) Following Piscicide Treatment in Two Streams: Response and Recovery of the Fish Population,Ecology of Freshwater Fish,2013,10.1111/eff.12031,tertiary,UoO,NZ,Wellington,n,n,n,n,y,n,basin,4.5,y,1,2,y,n,y,y,n,n,na,rotenone,n,n,n,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,y,y,n,n,n,y,n,n,n,n,n,n,y,n,y,n,y,n,n,n,
114,178,J,Boy CC. Morriconi E. Calvo J.,"Reproduction in Puyen, Galaxias Maculatus (Pisces : Galaxiidae), in the Southernmost Extreme of Distribution",Journal of Applied Ichthyology,2007,10.1111/j.1439-0426.2007.00842.x,govt,Centro Austral de Investigaciones CientÌficas,Argentina,Patagonia,n,y,n,n,n,n,reach,na,y,1,12,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,n,n,y,y,y,y,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,
100,157,J,Boy CC. Perez AF. Lattuca ME. Calvo J. Morriconi E.,"Reproductive Biology of Galaxias Maculatus (Jenyns 1842) in the Rio Ovando, a High-Latitude Environment in Southernmost Patagonia, Argentina",Journal of Applied Ichthyology,2009,10.1111/j.1439-0426.2009.01309.x,govt,Centro Austral de Investigaciones CientÌficas,Argentina,Patagonia,n,y,n,n,n,n,reach,0.01,y,1,13,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,
158,227,J,David BO. Closs GP.,Seasonal Variation in Diel Activity and Microhabitat Use of an Endemic New Zealand Stream-Dwelling Galaxiid Fish,Freshwater Biology,2003,10.1046/j.1365-2427.2003.01127.x,tertiary,UoO,NZ,Otago,n,n,y,n,n,n,basin,5,y,1,2,y,n,n,n,n,n,na,tagging,y,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,
118,182,J,Kattel GR. Closs GP.,"Spatial and Temporal Variation in the Fish Community of a South Island, New Zealand Coastal Lake",New Zealand Journal of Marine and Freshwater Research,2007,10.1080/00288330709509891,tertiary,UoO,NZ,Otago,n,y,n,n,n,n,basin,2,y,1,14,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,y,n,n,
132,199,J,Chapman A. Morgan DL. Beatty SJ. Gill HS.,Variation in Life History of Land-Locked Lacustrine and Riverine Populations of Galaxias Maculatus (Jenyns 1842) in Western Australia,Environmental Biology of Fishes,2006,10.1007/s10641-006-9051-2,tertiary,Murdoch University,Australia,Western Australia,n,y,n,n,n,n,regional,60,y,1,11,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,y,y,n,n,n,y,n,n,y,y,y,y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,y,y,n,y,
293,386,J,Humphries P.,"Variation in the life history of diadromous and landlocked populations of the spotted galaxias, galaxias truttaceus valenciennes, in Tasmania",Marine and Freshwater Research,1989,10.1071/MF9890501,tertiary,University of Tasmania,Australia,Tasmania,n,n,n,n,n,y,regional,180,y,1,12,y,n,n,n,n,n,n,na,n,n,n,n,n,n,n,n,n,y,n,y,n,y,n,y,y,y,y,y,n,y,n,y,n,y,n,n,n,n,n,n,n,n,y,y,n,y,
169,240,J,Barriga JP. Battini MA. Macchi PJ. Milano D. Cussac VE.,Spatial and Temporal Distribution of Landlocked Galaxias Maculatus and Galaxias Platei (Pisces : Galaxiidae) in a Lake in the South American Andes,New Zealand Journal of Marine and Freshwater Research,2002,10.1080/00288330.2002.9517092,tertiary,Universidad Nacional del Comahue,Argentina,Patagonia,n,y,n,n,n,n,basin,na,y,1.166666662,15,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,y,y,y,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,y,n,y,
251,334,J,Mcdowall RM. Robertson DA. Saito R.,Occurrence of Galaxiid Larvae and Juveniles in the Sea,New Zealand Journal of Marine and Freshwater Research,1975,10.1080/00288330.1975.9515541,govt,MAF,NZ,na,n,y,n,n,n,n,regional,1200,y,1.25,48,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,marine samples 
274,368,J,Pollard DA.,The biology of a landlocked form of the normally catadromous salrnoniform fish Galaxias maculatus (Jenyns) IV. Nutritional cycle,Australian Journal of Marine and Freshwater Research,1972,10.1071/MF9720039,tertiary,Monash University,Australia,Victoria,n,y,n,n,n,n,basin,na,y,1.333333332,15,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,
80,124,J,Laurenson LJB. French RP. Jones P. Ierodiaconou D. Gray S. Versace VL. Rattray A. Brown S. Monk J.,Aspects of the Biology of Galaxias Maculatus,Journal of Fish Biology,2012,10.1111/j.1095-8649.2012.03383.x,tertiary,Deakin University ,Australia,Victoria,n,y,n,n,n,n,regional,100,y,1.666666664,21,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,n,n,y,y,y,y,n,n,y,n,y,n,n,n,n,n,n,n,n,y,y,n,y,
174,245,J,David BO. Closs GP.,"Behavior of a Stream-Dwelling Fish Before, During, and after High-Discharge Events",Transactions of the American Fisheries Society,2002,10.1577/1548-8659(2002)131<0762:BOASDF>2.0.CO;2,tertiary,UoO,NZ,Otago,n,n,y,n,n,n,regional,5,y,2,2,y,n,n,n,n,n,na,tagging,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,
201,276,J,Mcdowall RM. Kelly GR.,"Date and Age at Migration in Juvenile Giant Kokopu, Galaxias Argenteus (Gmelin) (Teleostei : Galaxiidae) and Estimation of Spawning Season",New Zealand Journal of Marine and Freshwater Research,1999,10.1080/00288330.1999.9516875,tertiary,UoC,NZ,"West Coast, Southland",n,n,y,n,n,n,regional,690,y,2,2,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,y,n,n,n,n,y,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,
176,247,J,Flores V. Semenas L.,"Infection Patterns of Tylodelphys Barilochensis and t-Crubensis (Trematoda : Diplostomatidae) Metacercariae in Galaxias Maculatus (Osmeriformes : Galaxiidae) from Two Patagonian Lakes and Observations on their Geographical Distribution in the Southern Andean Region, Argentina",Journal of Parasitology,2002,10.1645/0022-3395(2002)088[1135:IPOTBA]2.0.CO;2,tertiary,Universidad Nacional del Comahue,Argentina,Patagonia,n,y,n,n,n,n,basin,na,y,2,8,y,n,n,n,n,n,na,na,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,n,y,
145,213,J,Viozzi GP. Semenas LG. Gutierrez P.,Population Dynamics of Philureter Trigoniopsis (Monogenea : Ancyrocephalinae) from Urinary Organs of Galaxias Maculatus (Osmeriformes : Galaxiidae) in a Cold Temperate Andean Patagonian Lake (Argentina),Journal of Parasitology,2005,10.1645/GE-305R1.1,tertiary,Universidad Nacional del Comahue,Argentina,Patagonia,n,y,n,n,n,n,basin,na,y,2,23,y,n,n,n,n,n,na,na,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,
219,296,J,Jowett IG. Richardson J. Mcdowall RM.,"Relative Effects of in-Stream Habitat and Land Use on Fish Distribution and Abundance in Tributaries of the Grey River, New Zealand",New Zealand Journal of Marine and Freshwater Research,1996,10.1080/00288330.1996.9516735,CRI,NIWA,NZ,West Coast,y,n,n,y,y,n,basin,12,y,2,2,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,na,na,y,n,n,n,n,y,y,y,n,n,n,n,n,n,n,y,n,n,n,
76,119,J,David BO. Hamer MP.,Remediation of a Perched Stream Culvert with Ropes Improves Fish Passage,Marine and Freshwater Research,2012,10.1071/MF11245,council,Waikato Regional Council ,NZ,Waikato,n,n,n,n,y,n,basin,1,y,2,6,n,n,y,y,n,n,na,passage,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,y,y,y,n,n,n,y,y,n,n,n,n,y,n,y,n,n,y,n,n,n,
208,284,J,O'connor WG. Koehn JD.,"Spawning of the Broad-Finned Galaxias, Galaxias Brevipinnis Gunther (Pisces : Galaxiidae) in Coastal Streams of Southeastern Australia",Ecology of Freshwater Fish,1998,10.1111/j.1600-0633.1998.tb00176.x,govt,Department of Natural Resources and Environment,Australia,Victoria,y,n,n,n,n,n,basin,na,y,2,6,y,n,n,n,n,n,na,na,y,y,n,n,y,n,y,n,n,n,n,y,y,n,n,y,y,n,y,y,n,y,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n,n,
275,369,J,Pollard DA.,The biology of a landlocked form of the normally catadromous salrnoniform fish Galaxias maculatus (Jenyns) V. Composition of the diet,Australian Journal of Marine and Freshwater Research,1973,10.1071/MF9730281,tertiary,Monash University,Australia,Victoria,n,y,n,n,n,n,basin,na,y,2,4,y,n,n,n,n,n,na,na,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,
61,98,J,Baillie BR. Hicks BJ. Van Den Heuvel MR. Kimberley MO. Hogg ID.,The Effects of Wood on Stream Habitat and Native Fish Assemblages in New Zealand,Ecology of Freshwater Fish,2013,10.1111/eff.12055,CRI,Scion,NZ,BoP,n,n,n,n,y,n,basin,1,y,2,y,y,n,y,y,n,n,na,habitat manipulation,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,y,n,n,n,
197,272,J,Trejo A. Semenas L. Viozzi G.,"Acanthocephalus Tumescens (Acanthocephala, Echinorhynchidae) in Galaxias Maculatus (Pisces, Galaxiidae) of Lake Gutierrez, Patagonia, Argentina",Journal of Parasitology,2000,10.1645/0022-3395(2000)086[0188:ATAEIG]2.0.CO;2,tertiary,Universidad Nacional del Comahue,Argentina,Patagonia,n,y,n,n,n,n,basin,na,y,2.249999999,24,y,n,n,n,n,n,na,na,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,na,na,na,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,n,na,
146,214,J,West DW. Jowett IG. Richardson J.,"Growth, Diet, Movement, and Abundance of Adult Banded Kokopu (Galaxias Fasciatus) in Five Coromandel, New Zealand Streams",New Zealand Journal of Marine and Freshwater Research,2005,10.1080/00288330.2005.9517362,CRI,NIWA,NZ,Waikato,n,n,n,n,y,n,regional,6,y,2.249999999,5,y,n,n,n,n,n,na,na,y,n,n,n,n,n,n,y,n,n,n,n,n,y,n,n,n,n,y,y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,y,n,n,n,
248,330,J,Hopkins. CL.,"Reproduction in Galaxias-Fasciatus Gray (Salmoniformes, Galaxiidae)",New Zealand Journal of Marine and Freshwater Research,1979,10.1080/00288330.1979.9515797,govt,MAF,NZ,Canterbury,n,n,n,n,y,n,regional,na,y,2.5,14,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,n,n,n,y,n,y,n,y,n,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,
136,204,J,Morgan DL. Beatty SJ.,,Ecology of Freshwater Fish,2006,10.1111/j.1600-0633.2006.00190.x,tertiary,Murdoch University,Australia,Western Australia,n,y,n,n,n,n,reach,0.01,y,2.83333333,8,y,n,n,n,n,n,na,passage,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,y,y,n,n,n,y,y,n,n,n,n,n,n,y,n,n,y,n,n,n,
247,329,J,Hopkins. CL.,"Age-Related Growth-Characteristics of Galaxias-Fasciatus (Salmoniformes, Galaxiidae)",New Zealand Journal of Marine and Freshwater Research,1979,10.1080/00288330.1979.9515779,govt,MAF,NZ,"Canterbury, Wellington",n,n,n,n,y,n,regional,320,y,3,14,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,y,y,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,
42,69,J,Franklin PA. Smith J. Baker CF. Bartels B. Reeve K.,First Observations on the Timing and Location of Giant Kokopu (Galaxias Argenteus) Spawning,New Zealand Journal of Marine and Freshwater Research,2015,10.1080/00288330.2015.1045004,CRI,NIWA,NZ,Waikato,n,n,y,n,n,n,reach,0.25,y,3,38,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,y,n,n,y,y,n,n,y,n,y,y,n,n,n,n,n,n,n,n,y,n,n,n,
55,87,J,Hustler K.,Individual Identification and Visual Indicators of Breeding Condition of Banded Ko _ Kopu ( Galaxias Fasciatus) in an Urban New Zealand Stream,New Zealand Journal of Marine and Freshwater Research,2014,10.1080/00288330.2013.826700,NA,NA,NZ,Auckland,n,n,n,n,y,n,lab,na,y,3,150,y,n,y,n,y,n,na,na,n,n,n,n,n,n,n,,n,y,n,n,n,n,n,,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,y,n,n,n,
128,195,J,Baker CF.,Predation of Inanga (Galaxias Maculatus) Eggs by Field Mice (Mus Musculus),Journal of the Royal Society of New Zealand,2006,10.1080/03014223.2006.9517806,CRI,NIWA,NZ,Waikato,n,y,n,n,n,n,reach,0.1,y,3,3,n,n,y,y,n,n,na,interaction,n,y,n,n,n,n,n,n,n,n,n,y,y,n,n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,y,n,y,n,n,n,
227,308,J,Rowe DK. Saxton BA. Stancliff AG.,"Species Composition of Whitebait (Galaxiidae) Fisheries in 12 Bay of Plenty Rivers, New-Zealand - Evidence for River Mouth Selection by Juvenile Galaxias-Brevipinnis (Gunther)",New Zealand Journal of Marine and Freshwater Research,1992,10.1080/00288330.1992.9516517,govt,MAF,NZ,BoP,y,y,n,n,y,n,regional,100,y,3,na,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,"whitebait composition, evidence for river selection"
271,365,J,Pollard DA.,The biology of a landlocked form of the normally catadromous salrnoniform fish Galaxias maculatus (Jenyns) I. Life cycle and origin,Australian Journal of Marine and Freshwater Research,1971,10.1071/MF9710091,tertiary,Monash University,Australia,Victoria,n,y,n,n,n,n,basin,na,y,3,8,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,n,n,n,y,n,y,n,y,n,y,y,y,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,y,n,y,
154,223,J,Allibone R. Caskey D. Miller R.,"Population Structure, Individual Movement, and Growth Rate of Shortjaw Kokopu (Galaxias Postvectis) in Two North Island, New Zealand Streams",New Zealand Journal of Marine and Freshwater Research,2003,10.1080/00288330.2003.9517182,CRI,NIWA,NZ,Taranaki,n,n,n,y,n,n,regional,3,y,3.5,7,y,n,n,n,n,n,na,tagging,n,n,n,n,n,n,n,y,n,n,n,n,n,y,n,n,n,n,y,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,
54,86,J,Hickford MJH. Schiel DR.,"Experimental Rehabilitation of Degraded Spawning Habitat of a Diadromous Fish, Galaxias Maculatus (Jenyns, 1842) in Rural and Urban Streams",Restoration Ecology,2014,10.1111/rec.12079,tertiary,UoC,NZ,Canterbury,n,y,n,n,n,n,reach,1,y,4,7,n,n,y,y,n,n,na,exclusion,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,y,n,n,n,y,n,n,y,n,y,n,y,n,n,n,n,y,n,n,y,n,n,n,
108,168,J,Hale R. Downes BJ. Swearer SE.,Habitat Selection as a Source of Inter-Specific Differences in Recruitment of Two Diadromous Fish Species,Freshwater Biology,2008,10.1111/j.1365-2427.2008.02037.x,tertiary,UoM,Australia,Victoria,y,y,n,n,n,n,regional,15,y,4,34,y,n,y,n,y,n,na,habitat prefernce,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,
298,393,J,Morgan DL. Beatty SJ. Close PG. Allen MG. Unmack PJ. Hammer MP. Adams M.,"Resolving the taxonomy, range and ecology of biogeographically isolated and critically endangered populations of an Australian freshwater galaxiid, Galaxias truttaceus",Pacific Conservation Biology,2016,10.1071/PC15043,tertiary,Murdoch university,Australia,"Western Australia, Tasmania, South Australia, Victoria",n,n,n,n,n,y,regional,2300,y,4,5,y,n,n,n,n,n,na,DNA,n,n,n,n,n,n,n,n,y,y,y,n,n,y,y,n,na,na,na,n,n,n,n,n,n,n,n,n,n,n,n,n,,n,y,y,n,y,
285,379,J,Colman JG.,"New records of Galaxias truttaceus (Galaxiidae) in the Kent River catchment, southwestern Australia",Journal of the Royal Society of Western Australia,2010,keep,na,na,Australia,Western Australia,n,n,n,n,n,y,reach,0.25,y,5,na,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,na,
46,74,J,Juncos R. Milano D. Macchi PJ. Vigliano PH.,Niche Segregation Facilitates Coexistence Between Native and Introduced Fishes in a Deep Patagonian Lake,Hydrobiologia,2015,10.1007/s10750-014-2122-z,govt,Centro Ato¥mico Bariloche,Argentina,Patagonia,n,y,n,n,n,n,basin,60,y,5,20,y,n,n,n,n,n,na,na,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n,
78,122,J,Franklin PA. Bartels B.,Restoring Connectivity for Migratory Native Fish in a New Zealand Stream: Effectiveness of Retrofitting a Pipe Culvert,Aquatic Conservation-Marine and Freshwater Ecosystems,2012,10.1002/aqc.2232,CRI,NIWA,NZ,Waikato,n,y,y,n,y,n,reach,0.05,y,5,11,y,n,y,y,n,n,na,passage,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,y,n,n,n,
35,52,J,Gray DP. Harding JS. Lindsay P.,Remediation of a Major Acid Mine Drainage Point Source Discharge Restores Headwater Connectivity for a Diadromous Native Fish,New Zealand Journal of Marine and Freshwater Research,2016,10.1080/00288330.2016.1184170,tertiary,UoC,NZ,West Coast,y,n,n,n,n,n,regional,20,y,7,2,y,n,n,y,n,n,na,na,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,y,y,n,n,n,y,y,y,n,n,n,n,n,y,n,n,y,n,n,n,
13,23,J,Catlin AK. Collier KJ. Duggan IC.,"Diet of Juvenile Galaxias Maculatus (Galaxiidae) During the Upstream Migration Period in the Lower Waikato River, New Zealand",Marine and Freshwater Research,2019,10.1071/MF18305,tertiary,UoW,NZ,Waikato,n,y,n,n,n,n,reach,10,y,12.16666667,6,y,n,n,y,n,n,na,GCA,y,n,n,,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,
38,59,J,Stevens JCB. Hickford MJH. Schiel DR.,Evidence of Iteroparity in the Widely Distributed Diadromous Fish Inanga Galaxias Maculatus and Potential Implications for Reproductive Output,Journal of Fish Biology,2016,10.1111/jfb.13083,tertiary,UoC,NZ,"Canterbury, West Coast",n,y,n,n,n,n,regional,260,y,12.16666667,14,y,n,n,y,n,n,na,na,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,n,y,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,"large amounts of useful info, show inanga can live multiple seasons and contribute substantially to egg production"
16,26,J,Egan EMC. Hickford MJH. Schiel DR.,"Understanding the Life Histories of Amphidromous Fish by Integrating Otolith-Derived Growth Reconstructions, Post-Larval Migrations and Reproductive Traits",Aquatic Conservation-Marine and Freshwater Ecosystems,2019,10.1002/aqc.3145,tertiary,UoC,NZ,Nelson-Tasman,n,y,n,n,n,n,regional,35,y,12.25,12,y,n,n,y,n,n,na,otolith rings,n,n,n,n,n,n,n,n,y,n,n,n,n,y,n,n,n,y,y,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,
12,22,J,Augspurger JM. Closs GP.,Early Life-History Adaptation Influences Conservation Approaches for Facultatively Amphidromous Fish,Aquatic Conservation-Marine and Freshwater Ecosystems,2019,10.1002/aqc.3077,council,Otago Regional Council,NZ,"West Coast, Otago",y,n,n,n,n,n,regional,430,y,18,14,y,n,n,y,n,n,na,na,n,n,n,n,n,n,n,n,y,n,n,y,n,n,n,y,n,n,y,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,different number and size of oocytes between landlocked and diadromus pops
279,373,J,Habit E. Piedra P. Ruzzante D. Walde S. Belk M. Cussac V. Gonzalez J. Colin N.,Changes in the distribution of native fishes in response to introduced species and other anthropogenic effects,Glob. Ecol. Biogeogr,2010,10.1111/j.1466-8238.2010.00541.x,tertiary,Universidad de ConcepciÛn,Chile,"Atacama, Coquimbo, ValparaÌso, O'Higgins, Maule, —uble, BiobÌo, AraucanÌa, Los RÌos, Los Lagos, AysÈn, Magallanes",n,y,n,n,n,n,regional,3000,y,35,na,y,n,n,n,n,n,na,na,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,na,na,na,na,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,n,y,
290,383,J,Fulton W.,A description of a new species of galaxias (Pisces: Galaxiidae) from tasmania,Marine and Freshwater Research,1978,10.1071/MF9780109,govt,Inland fisheries commission,Australia,Tasmania,n,n,n,n,n,y,regional,na,n,na,na,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,
239,320,J,Barker JR. Lambert DM.,a Genetic-Analysis of Populations of Galaxias-Maculatus from the Bay of Plenty - Implications for Natal River Return,New Zealand Journal of Marine and Freshwater Research,1988,10.1080/00288330.1988.9516304,tertiary,UoA,NZ,BoP,n,y,n,n,y,n,regional,7,n,na,na,y,n,n,n,n,n,na,DNA,n,n,n,n,n,n,n,n,y,n,y,n,n,n,y,n,n,na,na,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,
47,75,J,Tagliaferro M. Arismendi I. Lancelotti J. Pascual M.,"a Natural Experiment of Dietary Overlap Between Introduced Rainbow Trout (Oncorhynchus Mykiss) and Native Puyen (Galaxias Maculatus) in the Santa Cruz River, Patagonia",Environmental Biology of Fishes,2015,10.1007/s10641-014-0360-6,tertiary,Universidad Nacional de Luj·n,Argentina,Patagonia,n,y,n,n,n,n,reach,305,n,na,na,y,n,n,n,n,n,na,GCA,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,,n,y,n,y,n,n,n,
